Company Name,Ticker,Market Cap (mil),S&P 500 - ETF,Exchange
Mercantil Bank Holding Corporation,AMTB,524.29,NO,NSDQ
TD Ameritrade Holding Corporation,AMTD,19852.56,NO,NSDQ
"Aemetis, Inc",AMTX,11.52,NO,NSDQ
American Woodmark Corporation,AMWD,727.1,NO,NSDQ
"AnaptysBio, Inc.",ANAB,440.88,NO,NSDQ
American National Insurance Company,ANAT,2003.35,NO,NSDQ
Anchiano Therapeutics Ltd. Sponsored ADR,ANCN,6.15,NO,NSDQ
"The Andersons, Inc.",ANDE,512.38,NO,NSDQ
ANGI Homeservices Inc.,ANGI,2956.7,NO,NSDQ
"AngioDynamics, Inc.",ANGO,396.95,NO,NSDQ
Anika Therapeutics Inc.,ANIK,473.21,NO,NSDQ
"ANI Pharmaceuticals, Inc.",ANIP,505.67,NO,NSDQ
ANIXA BIOSCIENCES INC,ANIX,42.22,NO,NSDQ
"AnPac Bio-Medical Science Co., Ltd. Sponsored ADR",ANPC,91.85,NO,NSDQ
AirMedia Group Inc,ANTE,9.42,NO,NSDQ
Sphere 3D Corp.,ANY,3.42,NO,NSDQ
American Outdoor Brands Corporation,AOBC,530.86,NO,NSDQ
Alpha and Omega Semiconductor Limited,AOSL,256.99,NO,NSDQ
Applied DNA Sciences Inc,APDN,22.16,NO,NSDQ
"American Public Education, Inc.",APEI,340.08,NO,NSDQ
"Apollo Endosurgery, Inc.",APEN,43.35,NO,NSDQ
Cherokee Inc.,APEX,2.65,NO,NSDQ
"Apellis Pharmaceuticals, Inc.",APLS,2783.65,NO,NSDQ
Applied Therapeutics Inc.,APLT,824.5,NO,NSDQ
Aptorum Group Limited,APM,101.7,NO,NSDQ
"Apogee Enterprises, Inc.",APOG,497.02,NO,NSDQ
Cellect Biotechnology Ltd.,APOP,5.38,NO,NSDQ
"AppFolio, Inc.",APPF,3582.73,NO,NSDQ
Appian Corporation,APPN,2858.62,NO,NSDQ
"Digital Turbine, Inc.",APPS,476.21,NO,NSDQ
"Aprea Therapeutics, Inc.",APRE,710.61,NO,NSDQ
"Aptose Biosciences, Inc.",APTO,626.86,NO,NSDQ
Aptinyx Inc.,APTX,121.58,NO,NSDQ
Aptevo Therapeutics Inc.,APVO,13.84,NO,NSDQ
Asia Pacific Wire & Cable Corporation Limited,APWC,14.92,NO,NSDQ
Bovie Medical Corporation,APYX,115.17,NO,NSDQ
"AquaBounty Technologies, Inc.",AQB,56.47,NO,NSDQ
"Aqua Metals, Inc.",AQMS,34.81,NO,NSDQ
"Aquestive Therapeutics, Inc.",AQST,119.22,NO,NSDQ
"ARAVIVE, INC",ARAV,205.72,NO,NSDQ
Accuray Incorporated,ARAY,167.36,NO,NSDQ
ArcBest Corporation,ARCB,474.11,NO,NSDQ
Ares Capital Corporation,ARCC,4950.2,NO,NSDQ
Arco Platform Limited,ARCE,1216.9,NO,NSDQ
Alcobra Ltd.,ARCT,341.66,NO,NSDQ
Aridis Pharmaceuticals Inc.,ARDS,56.84,NO,NSDQ
"Ardelyx, Inc.",ARDX,495.48,NO,NSDQ
American Resources Corporation,AREC,25.7,NO,NSDQ
ARGENX SE-ADR,ARGX,6240.83,NO,NSDQ
Ark Restaurants Corp.,ARKR,37.28,NO,NSDQ
"Alliance Resource Partners, L.P.",ARLP,426.1,NO,NSDQ
"Arena Pharmaceuticals, Inc.",ARNA,2593.31,NO,NSDQ
Arrow Financial Corporation,AROW,391.15,NO,NSDQ
"Aerpio Pharmaceuticals, Inc.",ARPO,30.03,NO,NSDQ
"Arcutis Biotherapeutics, Inc.",ARQT,1127.82,NO,NSDQ
"Artelo Biosciences, Inc.",ARTL,3.94,NO,NSDQ
Artesian Resources Corporation,ARTNA,316.96,NO,NSDQ
"Art's-Way Manufacturing Co., Inc.",ARTW,8.56,NO,NSDQ
"Arvinas, Inc.",ARVN,2051.04,NO,NSDQ
"Arrowhead Pharmaceuticals, Inc.",ARWR,3953.32,NO,NSDQ
"Asta Funding, Inc.",ASFI,74.35,NO,NSDQ
ASLAN Pharmaceuticals Ltd.,ASLN,52.24,NO,NSDQ
"Assembly Biosciences, Inc.",ASMB,595.27,NO,NSDQ
"Ascena Retail Group, Inc.",ASNA,11.28,NO,NSDQ
Ascendis Pharma A/S,ASND,6214.19,NO,NSDQ
Altisource Portfolio Solutions S.A.,ASPS,104.83,NO,NSDQ
Aspen Group Inc.,ASPU,157.4,NO,NSDQ
"ASSERTIO THERAPEUTICS, INC",ASRT,69.07,NO,NSDQ
AmeriServ Financial Inc.,ASRV,45.96,NO,NSDQ
Astrotech Corporation,ASTC,17.22,NO,NSDQ
"Astec Industries, Inc.",ASTE,812.77,NO,NSDQ
Asure Software Inc,ASUR,92.71,NO,NSDQ
"Amtech Systems, Inc.",ASYS,66.07,NO,NSDQ
"America First Multifamily Investors, L.P.",ATAX,306,NO,NSDQ
Boxwood Merger Corp.,ATCX,281.95,NO,NSDQ
"Alphatec Holdings, Inc.",ATEC,241.27,NO,NSDQ
Prana Biotechnology Ltd,ATHE,10.03,NO,NSDQ
"Athersys, Inc.",ATHX,449.43,NO,NSDQ
ATIF Holdings Limited,ATIF,68.81,NO,NSDQ
Atlanticus Holdings Corporation,ATLC,203.13,NO,NSDQ
Ames National Corporation,ATLO,179.2,NO,NSDQ
"ATN International, Inc.",ATNI,1109.83,NO,NSDQ
"Athenex, Inc.",ATNX,745.46,NO,NSDQ
Atomera Incorporated,ATOM,77.18,NO,NSDQ
Atossa Genetics Inc.,ATOS,19.91,NO,NSDQ
"Atara Biotherapeutics, Inc.",ATRA,522.31,NO,NSDQ
"AtriCure, Inc.",ATRC,1531.47,NO,NSDQ
Atrion Corporation,ATRI,1206.99,NO,NSDQ
Astronics Corporation,ATRO,245.14,NO,NSDQ
"Antares Pharma, Inc.",ATRS,481.78,NO,NSDQ
"Air Transport Services Group, Inc",ATSG,1175.79,NO,NSDQ
"Avenue Therapeutics, Inc.",ATXI,151.48,NO,NSDQ
Atlantic Union Bankshares Corporation,AUB,1712.77,NO,NSDQ
"Auburn National Bancorporation, Inc.",AUBN,148.44,NO,NSDQ
AudioCodes Ltd.,AUDC,681.86,NO,NSDQ
Aurinia Pharmaceuticals Inc,AUPH,1805.74,NO,NSDQ
Autolus Therapeutics PLC Sponsored ADR,AUTL,411.1,NO,NSDQ
Autobytel Inc.,AUTO,9.47,NO,NSDQ
"AeroVironment, Inc.",AVAV,1335.8,NO,NSDQ
Avalon GloboCare Corp.,AVCO,150.65,NO,NSDQ
Avadel Pharmaceuticals PLC.,AVDL,368.13,NO,NSDQ
"AVEO Pharmaceuticals, Inc.",AVEO,66.25,NO,NSDQ
"Avinger, Inc.",AVGR,6.22,NO,NSDQ
"Avid Technology, Inc.",AVID,296.42,NO,NSDQ
"Aviat Networks, Inc.",AVNW,50.19,NO,NSDQ
"AVROBIO, Inc.",AVRO,521.73,NO,NSDQ
"Avnet, Inc.",AVT,2809.36,NO,NSDQ
Anavex Life Sciences Corp.,AVXL,197.7,NO,NSDQ
"Aware, Inc.",AWRE,54.88,NO,NSDQ
Abraxas Petroleum Corporation,AXAS,54.75,NO,NSDQ
"Accelerate Diagnostics, Inc.",AXDX,584.05,NO,NSDQ
"AxoGen, Inc.",AXGN,331.82,NO,NSDQ
Axovant Sciences Ltd.,AXGT,130.35,NO,NSDQ
Axcella Health Inc.,AXLA,101.01,NO,NSDQ
"Axonics Modulation Technologies, Inc.",AXNX,1197.48,NO,NSDQ
"Axsome Therapeutics, Inc.",AXSM,2832.53,NO,NSDQ
AXT Inc,AXTI,173.51,NO,NSDQ
Atlantica Yield PLC,AY,2423.21,NO,NSDQ
"Aytu Bioscience, Inc.",AYTU,127.33,NO,NSDQ
"Aspen Technology, Inc.",AZPN,6414.29,NO,NSDQ
AZURRX BIOPHARM,AZRX,15.74,NO,NSDQ
Bandwidth Inc.,BAND,1887.67,NO,NSDQ
BancFirst Corporation,BANF,1167.9,NO,NSDQ
Banner Corporation,BANR,1169.28,NO,NSDQ
StoneCastle Financial Corp,BANX,99.8,NO,NSDQ
"Bioanalytical Systems, Inc.",BASI,31.15,NO,NSDQ
Liberty Media Corporation,BATRA,201.1,NO,NSDQ
Liberty Media Corporation,BATRK,758.08,NO,NSDQ
Bed Bath & Beyond Inc.,BBBY,664.01,NO,NSDQ
"CONCRETE PUMPING HOLDINGS, INC.",BBCP,154.29,NO,NSDQ
"Beasley Broadcast Group, Inc.",BBGI,67.15,NO,NSDQ
VanEck Vectors Biotech ETF,BBH,381.41,NO,NSDQ
Vical Incorporated,BBI,11.61,NO,NSDQ
"BridgeBio Pharma, Inc.",BBIO,3773.33,NO,NSDQ
"Famous Dave's of America, Inc.",BBQ,20.22,NO,NSDQ
"Barrett Business Services, Inc.",BBSI,311.57,NO,NSDQ
"BCB Bancorp, Inc. (NJ)",BCBP,163.85,NO,NSDQ
"BioCardia, Inc.",BCDA,23.41,NO,NSDQ
"Atreca, Inc.",BCEL,517.05,NO,NSDQ
Brainstorm Cell Therapeutics Inc.,BCLI,159.22,NO,NSDQ
Bay Commercial Bank,BCML,135.08,NO,NSDQ
B Communications Ltd.,BCOM,38.02,NO,NSDQ
"Blucora, Inc.",BCOR,641.1,NO,NSDQ
Brightcove Inc.,BCOV,348.4,NO,NSDQ
"1895 Bancorp of Wisconsin, Inc.",BCOW,38.28,NO,NSDQ
Balchem Corporation,BCPC,2958.11,NO,NSDQ
"BioCryst Pharmaceuticals, Inc.",BCRX,548.92,NO,NSDQ
BANCORP 34 INC,BCTF,30.07,NO,NSDQ
Bicycle Therapeutics PLC Sponsored ADR,BCYC,260.54,NO,NSDQ
"Bridge Bancorp, Inc.",BDGE,378.21,NO,NSDQ
"BioDelivery Sciences International, Inc.",BDSI,420.13,NO,NSDQ
"Black Diamond Therapeutics, Inc.",BDTX,1480.61,NO,NSDQ
Beam Therapeutics Inc.,BEAM,931.82,NO,NSDQ
"BioTelemetry, Inc.",BEAT,1502.16,NO,NSDQ
"Beacon Roofing Supply, Inc.",BECN,1217.18,NO,NSDQ
Bel Fuse Inc.,BELFA,80.96,NO,NSDQ
Bel Fuse Inc.,BELFB,80.96,NO,NSDQ
Bank First National Corporation,BFC,364.96,NO,NSDQ
BankFinancial Corporation,BFIN,120.19,NO,NSDQ
Biofrontera AG Sponsored ADR,BFRA,145.76,NO,NSDQ
"Business First Bancshares, Inc.",BFST,168.24,NO,NSDQ
"Health Insurance Innovations, Inc.",BFYT,327.37,NO,NSDQ
"BGC Partners, Inc.",BGCP,979.69,NO,NSDQ
Big 5 Sporting Goods Corporation,BGFV,20.36,NO,NSDQ
"BeiGene, Ltd.",BGNE,12390.19,NO,NSDQ
Blue Hat Interactive Entertainment Technology,BHAT,31.85,NO,NSDQ
"Brighthouse Financial, Inc.",BHF,2352.05,NO,NSDQ
"Biohitech Global, Inc.",BHTG,20.52,NO,NSDQ
Bilibili Inc. Sponsored ADR,BILI,9046.57,NO,NSDQ
NF Energy Saving Corporation,BIMI,24.23,NO,NSDQ
"Biocept, Inc.",BIOC,41.85,NO,NSDQ
"Biolase, Inc.",BIOL,13.18,NO,NSDQ
"BJ's Restaurants, Inc.",BJRI,309.19,NO,NSDQ
BlackRock Capital Investment Corporation,BKCC,164.9,NO,NSDQ
"Blueknight Energy Partners L.P., L.L.C.",BKEP,58.27,NO,NSDQ
Bank of South Carolina Corp.,BKSC,84.28,NO,NSDQ
BIO-key International Inc.,BKYI,11.24,NO,NSDQ
BLACKLINE INC,BL,3307.38,NO,NSDQ
Blue Bird Corporation,BLBD,300.07,NO,NSDQ
"Bellicum Pharmaceuticals, Inc.",BLCM,29.93,NO,NSDQ
"Ballard Power Systems, Inc.",BLDP,2367.56,NO,NSDQ
"Builders FirstSource, Inc.",BLDR,1710.01,NO,NSDQ
"BioLife Solutions, Inc.",BLFS,223.13,NO,NSDQ
"Bridgeline Digital, Inc.",BLIN,2.86,NO,NSDQ
"Blackbaud, Inc.",BLKB,2412.57,NO,NSDQ
"Bloomin' Brands, Inc.",BLMN,821.4,NO,NSDQ
Blink Charging Co.,BLNK,48.38,NO,NSDQ
"Bellerophon Therapeutics, Inc.",BLPH,102.78,NO,NSDQ
BioLineRx Ltd.,BLRX,11.82,NO,NSDQ
Bellus Health Inc.,BLU,574.42,NO,NSDQ
"bluebird bio, Inc.",BLUE,3257.75,NO,NSDQ
"BMC Stock Holdings, Inc.",BMCH,1159.24,NO,NSDQ
"Biomerica, Inc.",BMRA,80.01,NO,NSDQ
Bank of Marin Bancorp,BMRC,426.62,NO,NSDQ
BioMarin Pharmaceutical Inc.,BMRN,17589.85,NO,NSDQ
Bryn Mawr Bank Corporation,BMTC,532.53,NO,NSDQ
"Benefitfocus, Inc.",BNFT,354.77,NO,NSDQ
"Bionano Genomics, Inc.",BNGO,13.14,NO,NSDQ
"Bonso Electronics International, Inc.",BNSO,11.25,NO,NSDQ
Benitec Biopharma Limited,BNTC,11.71,NO,NSDQ
BioNTech SE Sponsored ADR,BNTX,10804.01,NO,NSDQ
Bank of Commerce Holdings (CA),BOCH,126.74,NO,NSDQ
BOK Financial Corporation,BOKF,3253.75,NO,NSDQ
Boston Omaha Corporation,BOMN,381.1,NO,NSDQ
DMC Global Inc.,BOOM,364.13,NO,NSDQ
B.O.S. Better Online Solutions,BOSC,7.35,NO,NSDQ
"Bank of the James Financial Group, Inc.",BOTJ,42.14,NO,NSDQ
Boxlight Corporation,BOXL,7.33,NO,NSDQ
"Boston Private Financial Holdings, Inc.",BPFH,597.84,NO,NSDQ
Blueprint Medicines Corporation,BPMC,3819.17,NO,NSDQ
"Popular, Inc.",BPOP,3103.31,NO,NSDQ
The Bank of Princeton,BPRN,132.7,NO,NSDQ
"Bio-Path Holdings, Inc.",BPTH,21.15,NO,NSDQ
Brookfield Property Partners L.P.,BPY,3644.15,NO,NSDQ
Brookfield Property REIT Inc.,BPYU,499.29,NO,NSDQ
"Craft Brew Alliance, Inc.",BREW,297.84,NO,NSDQ
Bridgford Foods Corporation,BRID,157.36,NO,NSDQ
"Brookline Bancorp, Inc.",BRKL,845.54,NO,NSDQ
Bruker Corporation,BRKR,5686.97,NO,NSDQ
"Brooks Automation, Inc.",BRKS,2567.87,NO,NSDQ
"BRP Group, Inc.",BRP,191.65,NO,NSDQ
"Borqs Technologies, Inc.",BRQS,70.49,NO,NSDQ
Berry Petroleum Corporation,BRY,219.24,NO,NSDQ
Bogota Financial Corporation,BSBK,105.12,NO,NSDQ
"Bassett Furniture Industries, Incorporated",BSET,62.19,NO,NSDQ
"Biosig Technologies, Inc.",BSGM,225.9,NO,NSDQ
BSQUARE Corporation,BSQR,13.76,NO,NSDQ
Sierra Bancorp,BSRR,279.95,NO,NSDQ
BioSpecifics Technologies Corp,BSTC,407.78,NO,NSDQ
Bank7 Corp.,BSVN,65.13,NO,NSDQ
"BioXcel Therapeutics, Inc.",BTAI,623.02,NO,NSDQ
First Busey Corporation,BUSE,894.12,NO,NSDQ
"BroadVision, Inc.",BVSN,21.81,NO,NSDQ
BiondVax Pharmaceuticals Ltd.,BVXV,60.13,NO,NSDQ
Brainsway Ltd. Sponsored ADR,BWAY,84.4,NO,NSDQ
"Bridgewater Bancshares, Inc.",BWB,263.65,NO,NSDQ
"Broadwind Energy, Inc.",BWEN,23.13,NO,NSDQ
"Bankwell Financial Group, Inc.",BWFG,115.63,NO,NSDQ
"Baudax Bio, Inc.",BXRX,27.27,NO,NSDQ
Broadway Financial Corporation,BYFC,40.09,NO,NSDQ
"Beyond Meat, Inc.",BYND,6727.93,NO,NSDQ
BeyondSpring Inc.,BYSI,333.64,NO,NSDQ
Baozun Inc.,BZUN,1873.76,NO,NSDQ
"China Automotive Systems, Inc.",CAAS,57.47,NO,NSDQ
"Cabaletta Bio, Inc.",CABA,153.58,NO,NSDQ
Camden National Corporation,CAC,434,NO,NSDQ
Credit Acceptance Corporation,CACC,4933.08,NO,NSDQ
The Cheesecake Factory Incorporated,CAKE,845.35,NO,NSDQ
"Calithera Biosciences, Inc.",CALA,423.74,NO,NSDQ
California Bank of Commerce,CALB,109.51,NO,NSDQ
"Cal-Maine Foods, Inc.",CALM,2029.04,NO,NSDQ
CalAmp Corp.,CAMP,199.83,NO,NSDQ
Camtek Ltd.,CAMT,381.31,NO,NSDQ
Canaan Inc. Sponsored ADR,CAN,668.97,NO,NSDQ
"Capricor Therapeutics, Inc.",CAPR,22.18,NO,NSDQ
"Avis Budget Group, Inc.",CAR,909.62,NO,NSDQ
"Cara Therapeutics, Inc.",CARA,740.12,NO,NSDQ
Carter Bank & Trust,CARE,219.93,NO,NSDQ
"CarGurus, Inc.",CARG,2240.33,NO,NSDQ
Carolina Financial Corporation,CARO,728.89,NO,NSDQ
"Carver Bancorp, Inc.",CARV,7.14,NO,NSDQ
"Casa Systems, Inc.",CASA,390.65,NO,NSDQ
"Meta Financial Group, Inc.",CASH,608.8,NO,NSDQ
"CASI Pharmaceuticals, Inc.",CASI,182.66,NO,NSDQ
"Cass Information Systems, Inc",CASS,524.03,NO,NSDQ
"Casey's General Stores, Inc.",CASY,5657.81,NO,NSDQ
"Catabasis Pharmaceuticals, Inc.",CATB,98.61,NO,NSDQ
Cambridge Bancorp,CATC,255.46,NO,NSDQ
Cardtronics PLC,CATM,874.85,NO,NSDQ
Catasys Inc.,CATS,511.18,NO,NSDQ
Cathay General Bancorp,CATY,1896.55,NO,NSDQ
"Colony Bankcorp, Inc.",CBAN,102.4,NO,NSDQ
"China BAK Battery, Inc.",CBAT,20.98,NO,NSDQ
CymaBay Therapeutics Inc.,CBAY,114.34,NO,NSDQ
"CB Financial Services, Inc.",CBFV,100.84,NO,NSDQ
"Catalyst Biosciences, Inc.",CBIO,75.12,NO,NSDQ
"Cleveland BioLabs, Inc.",CBLI,18.18,NO,NSDQ
"CBM Bancorp, Inc.",CBMB,46.09,NO,NSDQ
"Cellular Biomedicine Group, Inc.",CBMG,283.55,NO,NSDQ
"Capital Bancorp, Inc.",CBNK,142.78,NO,NSDQ
"China Biologic Products, Inc.",CBPO,4203.07,NO,NSDQ
"Cracker Barrel Old Country Store, Inc.",CBRL,2121.11,NO,NSDQ
"Commerce Bancshares, Inc.",CBSH,6205.51,NO,NSDQ
"CBTX, Inc.",CBTX,420.26,NO,NSDQ
"Crescent Capital BDC, Inc.",CCAP,272.6,NO,NSDQ
Coastal Financial Corporation,CCB,148.98,NO,NSDQ
Capital City Bank Group,CCBG,314.91,NO,NSDQ
"China Ceramics Co., Ltd.",CCCL,5.03,NO,NSDQ
CSI Compressco LP,CCLP,22.34,NO,NSDQ
Cabot Microelectronics Corporation,CCMP,3259.1,NO,NSDQ
CNB Financial Corporation,CCNE,249.43,NO,NSDQ
"Cogent Communications Holdings, Inc.",CCOI,4135.12,NO,NSDQ
"China Customer Relations Centers, Inc.",CCRC,102.65,NO,NSDQ
"Cross Country Healthcare, Inc.",CCRN,220.79,NO,NSDQ
"ChemoCentryx, Inc.",CCXI,3150.83,NO,NSDQ
CENTENNIAL RES,CDEV,170.38,NO,NSDQ
"CDK Global, Inc.",CDK,4216.99,NO,NSDQ
"Cardlytics, Inc.",CDLX,1141.86,NO,NSDQ
"Avid Bioservices, Inc.",CDMO,295.97,NO,NSDQ
"CareDx, Inc.",CDNA,1066.83,NO,NSDQ
"Cidara Therapeutics, Inc.",CDTX,111.82,NO,NSDQ
ChromaDex Corporation,CDXC,291.77,NO,NSDQ
"Codexis, Inc.",CDXS,637.89,NO,NSDQ
"Cadiz, Inc.",CDZI,426.6,NO,NSDQ
CECO Environmental Corp.,CECE,165.13,NO,NSDQ
"Celcuity, Inc.",CELC,57.83,NO,NSDQ
Celsius Holdings Inc.,CELH,310.88,NO,NSDQ
"Chembio Diagnostics, Inc.",CEMI,275.59,NO,NSDQ
